page,total_requests,ip_count
/pages/blog/siargao/maximize-cloud-9-siargao/,3,3
/pages/blog/siargao/visit-magkukuob-cave-a-complete-travel-guide/magkukuob-cave/,3,3
/places/siargao/2025/12/,3,3
/resorts/cloud-nine-breeze/,3,3
/server,3,3
/server-status,3,3
/siargao/place/27/12/2025/,3,3
/swagger.json,3,3
/swagger/v1/swagger.json,3,3
/telescope/requests,3,3
/v2/api-docs,3,3
/v3/api-docs,3,3
/.env.bak,3,2
/.tmb/,3,2
/fw/,3,2
/garden/home/09Z8ZR,3,2
/places/siargao/2026/1/,3,2
/private/,3,2
/siargao/place/27/1/2026,3,2
/study-at-coventry/apply-now/,3,2
/admin/phpmyadmin,3,1
/admin/phpMyAdmin,3,1
/garden/look/09Z8ZR,3,1
/pages/sugbalagoon/,3,1
/place/9/12/2025/,3,1
/placeslug/anilao-batangas/,3,1
/.well-known/security.txt,2,2
/admin/content/sitetree/,2,2
/apis/getresortitem/paradise-beach-resort/,2,2
/est/tidal-pools-hideaway/,2,2
/garden/home/2S7CS,2,2
/garden/home/4WGBVR,2,2
/garden/look/60JDK,2,2
/place/10/10/2025/,2,2
/place/10/11/2025/,2,2
/place/23/11/2025/,2,2
/place/27/1/2026/#,2,2
/place/27/1/2026/#blogs,2,2
/place/9/11/2025/,2,2
/place/json/27/3/2026/,2,2
/place/json/27/4/2026/,2,2
/places/siargao/2026/4/,2,2
/properties/broadway-retail/,2,2
/resorts/${encodeURIComponent(r.name)},2,2
/resorts/fishermans-wharf-inn/,2,2
/resorts/myresortnameinquezon/,2,2
/resorts/saffron-shore-siargao-beachfront-villas/,2,2
/s/731323e2538313e27363e2237313/_/;/META-INF/maven/com.atlassian.jira/jira-webapp-dist/pom.properties,2,2
/siargao-island/check/paradise-beach-resort/,2,2
/static/images/sugbalagoon-cover.jpg,2,2
/userProfile/login/,2,2
/$,2,1
/.env.development,2,1
/.env.local,2,1
/.env.production,2,1
/.env.staging,2,1
/_profiler/phpinfo,2,1
/about-us/our-governance/academic-regulations/show_152.html,2,1
/admin,2,1
/administrator/,2,1
/apis/getPlaceBlogs/Siargao,2,1
